1.72, 0.44, 2.00|1.70, 0.45, 2.14
1.80, 0.38, 2.06|1.77, 0.41, 2.15
1.86, 0.37, 2.06|1.85, 0.38, 2.15
1.92, 0.41, 1.96|1.92, 0.40, 2.15
1.98, 0.38, 1.97|1.98, 0.39, 2.15
2.04, 0.36, 2.00|2.03, 0.37, 2.15
2.09, 0.41, 1.92|2.09, 0.39, 2.14
2.14, 0.46, 1.85|2.14, 0.45, 2.13
2.18, 0.46, 1.88|2.19, 0.46, 2.12
2.23, 0.40, 1.94|2.23, 0.41, 2.12
2.24, 0.38, 1.94|2.26, 0.39, 2.12
2.28, 0.36, 1.96|2.30, 0.37, 2.11
2.37, 0.45, 1.79|2.37, 0.41, 2.10
2.42, 0.40, 1.85|2.42, 0.41, 2.09
2.42, 0.41, 1.84|2.45, 0.42, 2.08
2.47, 0.38, 1.87|2.48, 0.41, 2.07
2.48, 0.37, 1.81|2.50, 0.39, 2.06
2.52, 0.36, 1.85|2.52, 0.37, 2.05
2.58, 0.34, 1.90|2.57, 0.35, 2.05
2.58, 0.40, 1.85|2.60, 0.38, 2.04
2.61, 0.37, 1.89|2.62, 0.37, 2.04
2.63, 0.35, 1.87|2.65, 0.36, 2.03
2.62, 0.37, 1.81|2.65, 0.36, 2.02
2.62, 0.35, 1.77|2.64, 0.35, 2.01
2.66, 0.31, 1.82|2.67, 0.32, 2.00
2.64, 0.38, 1.76|2.68, 0.34, 1.99
2.64, 0.35, 1.75|2.69, 0.33, 1.98
2.62, 0.31, 1.74|2.68, 0.31, 1.97
2.67, 0.28, 1.79|2.69, 0.28, 1.96
2.71, 0.29, 1.83|2.71, 0.28, 1.95
2.71, 0.34, 1.80|2.72, 0.32, 1.94
2.72, 0.36, 1.83|2.72, 0.34, 1.94
2.73, 0.39, 1.86|2.73, 0.38, 1.93
2.72, 0.42, 1.88|2.73, 0.39, 1.93
2.68, 0.46, 1.86|2.69, 0.44, 1.92
2.61, 0.57, 1.73|2.63, 0.53, 1.91
2.60, 0.62, 1.76|2.60, 0.61, 1.91
2.54, 0.71, 1.68|2.55, 0.69, 1.90
2.54, 0.76, 1.72|2.53, 0.75, 1.88
2.48, 0.87, 1.58|2.49, 0.84, 1.87
2.43, 0.97, 1.50|2.44, 0.94, 1.85
2.40, 1.04, 1.43|2.40, 1.03, 1.82
2.40, 1.08, 1.44|2.39, 1.08, 1.80
2.44, 1.10, 1.50|2.43, 1.10, 1.78
2.46, 1.17, 1.52|2.45, 1.16, 1.76
2.46, 1.25, 1.46|2.45, 1.25, 1.74
2.48, 1.21, 1.52|2.46, 1.24, 1.73
2.51, 1.25, 1.57|2.49, 1.26, 1.71
2.49, 1.32, 1.57|2.49, 1.31, 1.70
2.47, 1.39, 1.55|2.49, 1.38, 1.69
2.48, 1.42, 1.58|2.49, 1.42, 1.68
2.47, 1.48, 1.52|2.47, 1.48, 1.66
2.45, 1.55, 1.51|2.46, 1.55, 1.65
2.46, 1.56, 1.58|2.46, 1.56, 1.64
2.43, 1.62, 1.57|2.44, 1.63, 1.63
2.46, 1.63, 1.67|2.45, 1.65, 1.63
2.43, 1.69, 1.65|2.44, 1.70, 1.62
2.44, 1.72, 1.69|2.43, 1.74, 1.62
2.45, 1.75, 1.72|2.44, 1.77, 1.61
2.48, 1.73, 1.85|2.45, 1.77, 1.62
