2.50, 1.70, 1.69|2.48, 1.69, 1.51
2.53, 1.71, 1.78|2.49, 1.72, 1.53
2.57, 1.71, 1.84|2.50, 1.73, 1.56
2.59, 1.74, 1.85|2.51, 1.75, 1.58
2.56, 1.81, 1.80|2.51, 1.80, 1.60
2.58, 1.80, 1.90|2.51, 1.81, 1.62
2.61, 1.79, 1.98|2.53, 1.81, 1.66
2.61, 1.82, 1.97|2.55, 1.82, 1.69
2.59, 1.85, 1.95|2.57, 1.85, 1.70
2.55, 1.91, 1.89|2.58, 1.90, 1.73
2.56, 1.92, 1.94|2.61, 1.92, 1.75
2.59, 1.89, 1.96|2.63, 1.91, 1.77
2.56, 1.91, 1.97|2.62, 1.92, 1.80
2.55, 1.94, 1.98|2.62, 1.94, 1.82
2.51, 1.98, 1.96|2.59, 1.98, 1.84
2.46, 2.02, 1.92|2.57, 2.02, 1.86
2.44, 2.03, 1.92|2.56, 2.04, 1.87
2.40, 2.06, 1.96|2.55, 2.07, 1.89
2.37, 2.05, 1.93|2.54, 2.07, 1.90
2.35, 2.05, 1.93|2.54, 2.06, 1.91
2.31, 2.03, 1.95|2.49, 2.04, 1.90
2.27, 2.04, 1.96|2.45, 2.04, 1.92
2.24, 2.03, 1.92|2.41, 2.03, 1.94
2.19, 2.03, 1.90|2.36, 2.03, 1.94
2.16, 2.01, 1.90|2.33, 2.01, 1.96
2.10, 1.99, 1.91|2.29, 1.99, 1.97
2.06, 1.96, 1.87|2.26, 1.96, 1.97
2.03, 1.95, 1.85|2.22, 1.95, 1.96
1.99, 1.95, 1.84|2.18, 1.94, 1.94
1.93, 1.92, 1.82|2.12, 1.92, 1.94
1.87, 1.92, 1.80|2.06, 1.92, 1.93
1.82, 1.92, 1.78|1.98, 1.92, 1.93
1.77, 1.92, 1.80|1.92, 1.92, 1.93
1.72, 1.93, 1.81|1.86, 1.93, 1.93
1.72, 1.91, 1.77|1.80, 1.92, 1.92
1.66, 1.92, 1.79|1.76, 1.92, 1.92
1.63, 1.92, 1.80|1.71, 1.92, 1.90
1.60, 1.90, 1.77|1.67, 1.91, 1.90
1.52, 1.89, 1.76|1.59, 1.89, 1.86
1.47, 1.88, 1.78|1.53, 1.89, 1.86
1.43, 1.87, 1.78|1.48, 1.87, 1.86
1.40, 1.87, 1.83|1.43, 1.87, 1.86
1.34, 1.83, 1.82|1.37, 1.84, 1.86
1.28, 1.80, 1.77|1.31, 1.80, 1.86
1.24, 1.86, 1.95|1.24, 1.82, 1.87
1.20, 1.88, 1.98|1.17, 1.85, 1.88
1.17, 1.86, 1.92|1.11, 1.85, 1.89
1.19, 1.87, 1.91|1.06, 1.85, 1.89
1.12, 1.84, 1.74|1.01, 1.83, 1.87
1.17, 1.88, 1.79|0.99, 1.86, 1.87
1.20, 1.88, 1.77|1.00, 1.88, 1.86
1.14, 1.84, 1.63|1.00, 1.85, 1.84
1.18, 1.87, 1.65|1.00, 1.86, 1.82
1.22, 1.90, 1.66|1.01, 1.89, 1.77
1.25, 1.95, 1.73|1.02, 1.93, 1.76
1.25, 2.00, 1.75|1.04, 1.99, 1.75
1.26, 2.04, 1.75|1.06, 2.03, 1.75
1.27, 2.09, 1.77|1.08, 2.08, 1.76
1.28, 2.14, 1.75|1.11, 2.13, 1.75
1.30, 2.20, 1.80|1.13, 2.19, 1.75
1.31, 2.21, 1.74|1.15, 2.21, 1.74
1.32, 2.24, 1.69|1.18, 2.24, 1.71
1.32, 2.28, 1.68|1.20, 2.28, 1.69
1.30, 2.37, 1.73|1.22, 2.36, 1.68
1.30, 2.42, 1.76|1.23, 2.41, 1.69
1.29, 2.47, 1.78|1.24, 2.47, 1.69
1.31, 2.51, 1.74|1.25, 2.53, 1.70
1.29, 2.58, 1.82|1.26, 2.59, 1.70
1.29, 2.60, 1.79|1.27, 2.62, 1.71
1.30, 2.63, 1.73|1.27, 2.64, 1.71
1.31, 2.68, 1.72|1.28, 2.68, 1.69
1.28, 2.72, 1.80|1.29, 2.72, 1.68
1.27, 2.78, 1.88|1.29, 2.77, 1.69
1.25, 2.83, 1.93|1.30, 2.82, 1.72
1.25, 2.89, 1.98|1.31, 2.89, 1.74
1.25, 2.93, 2.00|1.31, 2.94, 1.75
1.23, 2.98, 2.05|1.30, 2.99, 1.79
1.25, 3.04, 2.02|1.30, 3.05, 1.81
1.24, 3.04, 2.06|1.30, 3.07, 1.84
1.23, 3.07, 2.07|1.30, 3.09, 1.86
1.25, 3.10, 2.03|1.28, 3.12, 1.89
1.29, 3.10, 1.91|1.29, 3.13, 1.89
1.27, 3.15, 1.97|1.29, 3.16, 1.90
1.28, 3.18, 1.96|1.29, 3.18, 1.91
